Number Start Coordinate Stop Coordinate Color/Hardness 
1 : 82 266 82 267 0.5075129341 
2 : 82 267 83 266 0.5151646558 
3 : 83 266 83 267 0.5166179412 
4 : 82 268 83 267 0.5257871662 
5 : 83 267 83 268 0.5258989555 
6 : 82 265 83 265 0.5353013362 
7 : 83 268 82 269 0.5415812842 
8 : 83 265 84 266 0.5441896198 
9 : 82 269 83 269 0.5499651203 
10 : 83 269 82 270 0.5600768049 
11 : 84 267 84 266 0.5675769534 
12 : 82 270 83 270 0.5687782521 
13 : 84 266 85 267 0.5687912088 
14 : 89 267 89 268 0.5738636364 
15 : 89 268 90 268 0.5755406195 
16 : 83 270 82 271 0.5776143791 
17 : 90 268 90 267 0.5789153856 
18 : 88 266 88 267 0.5804789430 
19 : 83 278 83 279 0.5806501548 
20 : 83 274 83 275 0.5817099567 
21 : 88 267 89 266 0.5821760797 
22 : 82 271 83 271 0.5821760797 
23 : 83 271 83 272 0.5838930660 
24 : 83 275 83 276 0.5865556626 
25 : 83 276 83 277 0.5867575194 
26 : 83 279 84 280 0.5877906977 
27 : 83 273 83 272 0.5893270278 
28 : 83 277 84 278 0.5900988720 
29 : 85 267 84 268 0.5906634747 
30 : 89 266 90 267 0.5907240825 
31 : 83 272 82 272 0.5907240825 
32 : 84 268 84 269 0.5908251232 
33 : 90 267 91 268 0.5909666382 
34 : 84 265 85 266 0.5914285714 
35 : 88 265 87 266 0.5923804610 
36 : 85 266 86 266 0.5924212192 
37 : 11 113 11 112 0.5990516174 
38 : 88 268 89 269 0.5995385049 
39 : 12 120 12 119 0.5999298738 
40 : 91 268 90 269 0.6012117776 
41 : 87 266 87 267 0.6012756910 
42 : 90 269 89 269 0.6029904477 
43 : 85 268 84 269 0.6048121056 
44 : 84 269 84 270 0.6048121056 
45 : 82 272 82 273 0.6051375883 
46 : 11 112 11 111 0.6057517890 
47 : 89 269 88 269 0.6066120771 
48 : 82 264 83 264 0.6076749043 
49 : 84 280 84 279 0.6077279403 
50 : 12 119 12 118 0.6082244053 
51 : 87 267 86 266 0.6085220674 
52 : 12 121 13 121 0.6086441376 
53 : 97 277 97 278 0.6104651163 
54 : 15 130 15 131 0.6113844394 
55 : 84 270 85 269 0.6121212121 
56 : 86 266 86 267 0.6121436967 
57 : 86 267 86 268 0.6121436967 
58 : 84 279 83 280 0.6134793953 
59 : 85 269 86 268 0.6140328184 
60 : 87 265 86 265 0.6141236046 
61 : 83 280 82 279 0.6143279797 
62 : 12 118 12 117 0.6150620667 
63 : 11 114 11 115 0.6158764348 
64 : 91 267 90 266 0.6158765570 
65 : 84 271 85 270 0.6159452625 
66 : 83 264 84 264 0.6164548642 
67 : 12 117 11 116 0.6168052641 
68 : 15 131 15 132 0.6192347384 
